procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  4      0 52661136 260128 6545872    0    0     0     0 5173 6534  3  1 59 38  0  0
 1  4      0 52660896 260128 6545872    0    0     0     0 5657 6917  2  1 59 38  0  0
 3  4      0 52660896 260128 6545888    0    0     0     6 5900 7174  2  1 59 38  0  0
 1  4      0 52699296 260128 6545904    0    0     0     0 4730 5795  2  1 59 38  0  0
 2  4      0 52699296 260128 6545904    0    0     0    78 5556 6875  2  1 59 38  0  0
 1  4      0 52699296 260128 6545904    0    0     0    22 6289 7991  3  1 67 30  0  0
 1  4      0 52664832 260128 6545920    0    0    18   492 9168 12019  4  1 66 28  0  0
 1  4      0 52554864 260128 6546000    0    0     0     0 10764 15442  5  2 59 34  0  0
 1  4      0 52554144 260128 6546000    0    0     0    24 5925 7669  3  1 58 38  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  4      0 52554144 260128 6546016    0    0     0    18 5761 7707  2  1 58 39  0  0
 1  3      0 52625456 260128 6546016    0    0     0     0 5150 6505  2  1 71 26  0  0
 1  3      0 52657328 260128 6546048    0    0     0   658 4943 6058  2  1 69 28  0  0
 1  3      0 52657328 260128 6546048    0    0     0    42 5311 6643  2  1 69 28  0  0
 1  3      0 52660464 260128 6546064    0    0     0     0 4802 5961  2  1 68 29  0  0
 0  3      0 52660464 260128 6546080    0    0     0    10 5660 7020  2  1 68 28  0  0
 1  3      0 52660704 260128 6546080    0    0     0     0 5931 7602  3  1 68 28  0  0
 1  3      0 52660704 260128 6546080    0    0     0     0 5150 6470  3  1 74 22  0  0
 0  3      0 52660704 260128 6546096    0    0     0     6 6457 8303  3  1 76 20  0  0
 1  3      0 52660704 260128 6546096    0    0     0     0 4981 6241  2  1 69 27  0  0
 1  3      0 52666240 260128 6546128    0    0     0    52 4540 5480  2  1 67 30  0  0
 1  3      0 52667232 260144 6546112    0    0     0    20 4590 5539  2  1 68 29  0  0
 1  3      0 52668832 260144 6546144    0    0     0    12 4838 5870  2  1 68 29  0  0
 1  1      0 52962944 260144 6546144    0    0     0     0 6259 8405  3  1 81 15  0  0
 1  1      0 52962944 260144 6546144    0    0     0    12 3957 4775  2  1 88 10  0  0
 0  1      0 52962720 260144 6546144    0    0     0     0 4129 4929  2  1 87 10  0  0
 1  1      0 52962720 260144 6546208    0    0     0     0 4318 5054  2  1 87 10  0  0
 1  1      0 52962720 260144 6546224    0    0     0    12 4766 6034  2  1 87 10  0  0
 0  3      0 52720352 260144 6546224    0    0     0    22 9661 12897  5  1 75 19  0  0
 0  3      0 52716560 260144 6546240    0    0     0     0 4669 5496  2  1 70 27  0  0
 1  3      0 52712032 260144 6546240    0    0     0    20 4761 5736  3  1 68 28  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  3      0 52704144 260144 6546240    0    0     0    32 5195 6825  2  1 68 29  0  0
 1  3      0 52759088 260144 6546272    0    0     0     0 4574 5416  3  1 68 29  0  0
 1  3      0 52759088 260144 6546272    0    0     0     6 4127 5012  2  1 69 28  0  0
 1  3      0 52759088 260144 6546272    0    0     0   244 4561 5687  2  1 69 28  0  0
 1  3      0 52759088 260144 6546272    0    0     0    54 5538 6953  2  1 69 28  0  0
 2  3      0 52759088 260144 6546272    0    0     0     0 6878 8427  3  1 71 25  0  0
 1  3      0 52759088 260144 6546304    0    0     0    20 4778 5655  2  1 68 29  0  0
 0  3      0 52766768 260144 6546304    0    0     0    14 5790 7327  3  1 68 28  0  0
 1  3      0 52766768 260144 6546304    0    0     0     0 5309 6954  2  1 67 29  0  0
 1  3      0 52760896 260144 6546320    0    0     0    12 4346 5340  2  1 68 29  0  0
 3  3      0 52752976 260144 6546368    0    0     0     0 4652 5913  2  1 70 27  0  0
 1  3      0 52752976 260144 6546368    0    0     0   610 4456 5467  2  1 78 20  0  0
 1  3      0 52736928 260144 6546384    0    0     0     6 7667 10801  3  1 71 24  0  0
 1  3      0 52736448 260144 6546400    0    0     0     0 4592 5628  2  1 67 30  0  0
 1  3      0 52735968 260144 6546400    0    0     0    18 4376 5289  2  1 69 29  0  0
 1  3      0 52734528 260144 6546416    0    0     0    18 5661 7250  3  1 67 29  0  0
 1  3      0 52756144 260144 6546416    0    0     0     0 5102 6278  3  1 68 29  0  0
 1  3      0 52754464 260144 6546432    0    0     0     0 4690 5891  2  1 70 27  0  0
 1  3      0 52753744 260144 6546432    0    0     0    60 5435 6862  2  1 71 26  0  0
 1  1      0 52961104 260144 6546432    0    0     0     0 5160 6364  2  1 71 25  0  0
 2  1      0 52966640 260144 6546448    0    0     0    58 4679 5621  2  1 87 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 52967120 260144 6546448    0    0     0   630 2387 2594  1  0 89 10  0  0
 1  1      0 52966400 260144 6546448    0    0     0     0 4772 5824  2  1 87 10  0  0
 0  1      0 52965440 260144 6546464    0    0     0     0 5726 7129  2  1 87 10  0  0
 1  3      0 52719680 260144 6546496    0    0     0     6 7451 9675  4  1 85 10  0  0
 1  2      0 52750816 260144 6546496    0    0     0   102 7646 9544  4  1 77 19  0  0
 2  2      0 52772656 260144 6546528    0    0     0     0 4034 4550  3  1 84 12  0  0
 1  2      0 52781072 260144 6546528    0    0     0     0 6740 8079  4  1 76 19  0  0
 1  2      0 52786032 260144 6546528    0    0     0    14 4621 5244  2  1 77 20  0  0
 1  2      0 52782912 260144 6546544    0    0     0     0 5115 6355  3  1 77 20  0  0
 1  2      0 52781472 260144 6546560    0    0     0     4 5428 6706  2  1 77 20  0  0
 1  2      0 52781472 260144 6546576    0    0     0    16 3488 3849  1  1 78 20  0  0
 1  2      0 52779792 260144 6546576    0    0     0    16 4538 5131  2  1 78 20  0  0
 1  2      0 52774032 260144 6546576    0    0     0     0 3971 4346  2  1 78 20  0  0
 1  2      0 52774032 260144 6546592    0    0     0    42 4451 5176  2  1 78 20  0  0
 1  2      0 52767696 260144 6546592    0    0     0    60 5637 6723  2  1 77 20  0  0
 1  2      0 52766592 260144 6546592    0    0     0     0 2371 2571  1  0 79 20  0  0
 1  2      0 52798096 260144 6546608    0    0     0  1760 5013 6121  2  1 77 19  0  0
 1  2      0 52794496 260144 6546624    0    0     0     0 5590 7169  2  1 78 19  0  0
 2  1      0 52790416 260144 6546704    0    0     0    60 6374 8048  3  1 78 18  0  0
 1  1      0 52895584 260144 6546704    0    0     0     2 4641 5786  2  1 87 10  0  0
 1  1      0 52891024 260144 6546720    0    0     0    98 6545 8355  3  1 86 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 52891024 260144 6546736    0    0     0     0 5808 7260  2  1 87 10  0  0
 2  1      0 52893808 260144 6546752    0    0     0    12 5509 6703  3  1 87 10  0  0
11  1      0 52464832 260144 6548288    0    0     0   166 8628 10378 14  1 76  9  0  0
 6  1      0 52223216 260144 6550384    0    0     0     0 11552 10348 86  1 11  3  0  0
 1  1      0 52724304 260144 6553424    0    0     0  3424 11611 14036 18  1 72  9  0  0
 0  1      0 52772544 260144 6553456    0    0     0     0 4245 5180  2  1 88 10  0  0
 1  1      0 52783584 260144 6553456    0    0     0    18 6742 8587  4  1 86 10  0  0
 1  1      0 52805728 260144 6553456    0    0     0    16 4940 6003  2  1 87 10  0  0
 2  1      0 52816400 260144 6553472    0    0     0   282 7668 9568  5  1 85  9  0  0
 7  1      0 52347760 260144 6555024    0    0     0     4 11353 13918 35  1 56  8  0  0
 2  1      0 52196864 260144 6560912    0    0     0   114 11564 12195 68  1 27  4  0  0
 1  1      0 52612528 260144 6553632    0    0     0  3284 11468 14283 14  1 75  9  0  0
 1  1      0 52659216 260144 6553632    0    0     0     2 4044 4817  2  1 88 10  0  0
 1  1      0 52705296 260144 6553632    0    0     0   122 5817 7082  2  1 87 10  0  0
 1  1      0 52805920 260144 6553632    0    0     0     0 7575 9833  4  1 85 10  0  0
 0  1      0 52835264 260144 6553632    0    0     0     0 3895 4542  1  1 88 10  0  0
 0  1      0 52864960 260144 6553648    0    0     0    26 5324 6270  2  1 87 10  0  0
 0  1      0 52879840 260144 6553664    0    0     0   512 3553 4134  1  1 88 10  0  0
 1  1      0 52901296 260144 6553680    0    0     0     0 6224 7750  4  1 85 10  0  0
 1  1      0 52901776 260144 6553696    0    0     0    38 5385 6429  2  1 87 10  0  0
 1  1      0 52901776 260144 6553696    0    0     0     0 4922 5872  2  1 88 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 52902048 260144 6553696    0    0     0     2 5652 6708  3  1 86 10  0  0
 1  1      0 52902048 260144 6553696    0    0     0    12 5197 6169  2  1 87 10  0  0
 1  1      0 52900128 260144 6553728    0    0     0     0 4758 5543  3  1 87 10  0  0
 1  1      0 52894368 260144 6553744    0    0     0   132 5485 6744  2  1 87 10  0  0
 0  1      0 52890768 260144 6553744    0    0     0   198 4691 6113  2  1 88 10  0  0
 1  1      0 52890768 260144 6553744    0    0     0  7300 3522 4007  2  1 88 10  0  0
 1  0      0 52672928 260144 6553744    0    0     0     0 5752 6889  3  1 87  9  0  0
 0  0      0 52762976 260144 6553824    0    0     0    56 7454 8995  4  2 94  0  0  0
 0  0      0 52810912 260144 6553840    0    0     0     4 4240 5025  2  1 98  0  0  0
 1  0      0 52863184 260144 6553840    0    0     0   608 5224 6062  3  1 96  0  0  0
 8  0      0 52901408 260144 6553856    0    0     0    22 5713 6842  3  1 96  0  0  0
 0  0      0 52951312 260144 6553856    0    0     0     0 5021 6076  3  1 96  0  0  0
 4  0      0 51172480 260144 6553872    0    0     0     0 12118 16396 10  3 87  0  0  0
 1  0      0 51840928 260144 6553920    0    0     0    22 8123 10318  6  2 93  0  0  0
 0  0      0 51863968 260144 6553920    0    0     0     0 4251 5041  2  1 98  0  0  0
 1  0      0 51909696 260144 6553936    0    0     0    12 4737 5486  2  1 97  0  0  0
 1  0      0 51964960 260144 6554016    0    0     0    72 5290 6226  2  1 97  0  0  0
 0  0      0 52044640 260144 6554032    0    0     0     0 4730 5592  2  1 97  0  0  0
 1  0      0 47726832 260144 6554048    0    0     0    54 15553 22182 19  4 77  0  0  0
 1  0      0 47771936 260144 6554064    0    0     0    32 5251 6778  2  1 97  0  0  0
