procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  2      0 53006688 260064 6539584    0    0     0   454  928 1027  0  0 80 20  0  0
 1  2      0 53006688 260064 6539600    0    0     0    10 1409 1835  1  0 79 20  0  0
 0  2      0 53006688 260064 6539600    0    0     0     0  682  697  0  0 80 20  0  0
 1  2      0 53006688 260064 6539584    0    0     0    14 1138 1383  0  0 80 20  0  0
 1  2      0 52970432 260064 6539616    0    0     0     0 3717 5509  2  1 80 18  0  0
 2  2      0 52922672 260064 6539616    0    0     0     0 2227 3285  1  0 80 20  0  0
 0  2      0 52922672 260064 6539632    0    0     0    14  814  854  0  0 80 20  0  0
 2  2      0 52922672 260064 6539632    0    0     0    40  662  675  0  0 80 20  0  0
 1  2      0 52938032 260064 6539648    0    0     0     0 1627 2021  1  0 79 20  0  0
 0  2      0 52938032 260064 6539648    0    0     0     6  700  714  0  0 80 20  0  0
 0  2      0 52938032 260064 6539664    0    0     0     0  953 1046  0  0 80 20  0  0
 1  2      0 52941584 260064 6539664    0    0     0     0  626  643  0  0 80 20  0  0
 1  2      0 52942976 260064 6539664    0    0     0     6  626  642  0  0 80 20  0  0
 1  2      0 52941872 260064 6539680    0    0     0     0 1645 1817  1  0 79 20  0  0
 0  2      0 52942960 260064 6539680    0    0     0     0 1528 1504  0  0 79 20  0  0
 0  2      0 52942944 260064 6539712    0    0     0    10 1358 1444  0  0 79 20  0  0
 1  2      0 52942784 260064 6539712    0    0     0     0 1415 1890  1  0 79 20  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2      0 52942784 260080 6539728    0    0     0    94  707  710  0  0 80 20  0  0
 0  2      0 52942752 260080 6539744    0    0     0    22 1008 1114  0  0 80 20  0  0
 1  0      0 53209072 260080 6539792    0    0     0   602 1299 1555  0  0 85 15  0  0
 0  0      0 53209920 260080 6539808    0    0     0     0  939 1089  0  0 100  0  0  0
 0  0      0 53210064 260080 6539808    0    0     0    20  704  718  0  0 100  0  0  0
 0  0      0 53210064 260080 6539824    0    0     0     0 1118 1259  0  0 99  0  0  0
 1  0      0 53210096 260080 6539824    0    0     0     0 1500 1999  1  0 99  0  0  0
 1  2      0 52989200 260080 6539856    0    0     0    14 2783 3446  2  0 95  3  0  0
 1  2      0 52987088 260080 6539872    0    0     0    28  722  766  0  0 80 20  0  0
 0  2      0 52987088 260080 6539888    0    0     0     0  896  916  0  0 80 20  0  0
 1  2      0 52987088 260080 6539888    0    0     0    18  579  615  0  0 80 20  0  0
 1  2      0 53018384 260080 6539888    0    0     0     0  885  911  1  0 80 20  0  0
 1  2      0 53019312 260080 6539904    0    0     0     0 1038 1039  0  0 79 20  0  0
 0  2      0 53019312 260080 6539920    0    0     0    10  606  621  0  0 80 20  0  0
 1  2      0 53019312 260080 6539936    0    0     0  1416 1379 1821  1  0 79 20  0  0
 1  2      0 53019312 260080 6539952    0    0     0    64  728  744  0  0 80 20  0  0
 0  2      0 53019312 260080 6539936    0    0     0    18  708  746  0  0 80 20  0  0
 0  2      0 53019312 260080 6539936    0    0     0     0  622  658  0  0 80 20  0  0
 1  2      0 53019312 260080 6539936    0    0     0    40  575  597  0  0 80 20  0  0
 0  2      0 53019312 260080 6539952    0    0     0    28  780  796  0  0 80 20  0  0
 0  2      0 53019312 260080 6539952    0    0     0     0  637  640  0  0 80 20  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  2      0 53019312 260080 6539968    0    0     0     0 1407 1827  1  0 79 20  0  0
 1  2      0 52919840 260080 6540016    0    0     0     6 3384 4976  2  0 80 18  0  0
 1  2      0 52917184 260080 6540032    0    0     0     0  649  682  0  0 80 20  0  0
 0  2      0 52917184 260080 6540032    0    0     0     0  873  940  1  0 79 20  0  0
 1  2      0 52921328 260080 6540032    0    0     0    20  997 1108  0  0 80 20  0  0
 1  2      0 52994416 260080 6540048    0    0     0    38  921  941  1  0 79 20  0  0
 1  2      0 52995360 260080 6540064    0    0     0     0 1141 1123  0  0 80 20  0  0
 0  2      0 52995360 260080 6540080    0    0     0    10  732  787  0  0 80 20  0  0
 0  2      0 52995360 260080 6540080    0    0     0     0 1344 1764  1  0 79 20  0  0
 1  2      0 52995360 260080 6540112    0    0     0    10  639  646  0  0 80 20  0  0
 1  2      0 52995120 260080 6540112    0    0     0   624  776  843  0  0 80 20  0  0
 1  2      0 52995120 260080 6540112    0    0     0     0  610  644  0  0 80 20  0  0
 1  2      0 52995120 260080 6540128    0    0     0    64  671  691  0  0 80 20  0  0
 1  2      0 52995120 260080 6540128    0    0     0    10  807  795  0  0 80 20  0  0
 1  2      0 52995120 260080 6540144    0    0     0     0 1102 1217  0  0 80 20  0  0
 1  2      0 52995120 260080 6540160    0    0     0    18 1484 1969  1  0 79 20  0  0
 0  0      0 53193408 260080 6540160    0    0     0    18 1426 1761  0  0 81 19  0  0
 0  0      0 53194512 260080 6540192    0    0     0    16  758  814  0  0 100  0  0  0
 0  0      0 53194512 260080 6540192    0    0     0     0  587  624  0  0 100  0  0  0
 1  0      0 53194512 260080 6540208    0    0     0    20  724  826  0  0 100  0  0  0
 1  0      0 53194512 260080 6540208    0    0     0     0  700  714  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 53180256 260080 6540272    0    0     0     0 1365 1285  1  0 99  0  0  0
 1  2      0 52919728 260080 6540240    0    0     0    18 5359 7857  3  1 79 17  0  0
 1  2      0 52932944 260080 6540304    0    0     0   676 1810 2223  1  0 79 20  0  0
 0  2      0 52940624 260080 6540304    0    0     0    40  742  749  0  0 80 20  0  0
 1  2      0 52948304 260080 6540304    0    0     0    10 1099 1263  0  0 80 20  0  0
 0  2      0 53002048 260080 6540336    0    0     0    42 1145 1067  1  0 79 20  0  0
 1  2      0 53016592 260080 6540352    0    0     0     0  916  997  0  0 80 20  0  0
 1  2      0 53030864 260080 6540352    0    0     0     0  835  814  0  0 80 20  0  0
 1  2      0 53030864 260080 6540352    0    0     0     6  647  660  0  0 80 20  0  0
 0  2      0 53030864 260080 6540368    0    0     0    64 1583 1999  1  0 79 20  0  0
 1  2      0 53030864 260080 6540368    0    0     0     0  702  725  0  0 80 20  0  0
 1  2      0 53030864 260080 6540384    0    0     0    42  942 1013  0  0 80 20  0  0
 1  2      0 53030864 260080 6540384    0    0     0     0  596  633  0  0 80 20  0  0
 2  2      0 53030864 260080 6540384    0    0     0     0  606  597  0  0 80 20  0  0
 1  2      0 53030864 260080 6540400    0    0     0    18  885  959  0  0 79 20  0  0
 0  2      0 53030864 260080 6540400    0    0     0     0  850  828  0  0 80 20  0  0
 1  0      0 53263856 260080 6540480    0    0     0     0 1607 1951  0  0 93  6  0  0
 1  0      0 53263856 260080 6540480    0    0     0    18 1307 1724  1  0 99  0  0  0
 1  0      0 53263856 260080 6540496    0    0     0    60  627  646  0  0 100  0  0  0
 1  0      0 53263856 260080 6540512    0    0     0     0 1085 1195  0  0 99  0  0  0
 1  0      0 53263856 260080 6540512    0    0     0   642  655  678  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2      0 52994416 260080 6540544    0    0     0     0 4583 6363  2  1 86 11  0  0
 0  2      0 52994416 260080 6540544    0    0     0    12  877  840  0  0 80 20  0  0
 0  2      0 52990336 260080 6540560    0    0     0    22 1747 1858  1  0 79 20  0  0
