Linux 6.16.0-1002-asahi-arm (onosendai) 	03/20/2026 	_aarch64_	(10 CPU)

10:28:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:52 AM  all    0.30    0.00    0.25   19.89    0.00    0.00    0.00    0.00    0.00   79.56
10:28:52 AM    0    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:28:52 AM    1    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:28:52 AM    2    1.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.49
10:28:52 AM    3    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:28:52 AM    4    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
10:28:52 AM    5    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:28:52 AM    6    0.50    0.00    0.00   99.50    0.00    0.00    0.00    0.00    0.00    0.00
10:28:52 AM    7    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:28:52 AM    8    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:28:52 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:28:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:54 AM  all    0.10    0.00    0.15   20.02    0.00    0.00    0.00    0.00    0.00   79.73
10:28:54 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:54 AM    1    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:28:54 AM    2    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:28:54 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:54 AM    4    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
10:28:54 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:54 AM    6    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
10:28:54 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:54 AM    8    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:28:54 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:28:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:56 AM  all    0.50    0.00    0.15   19.82    0.00    0.00    0.00    0.00    0.00   79.53
10:28:56 AM    0    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:28:56 AM    1    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:28:56 AM    2    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:28:56 AM    3    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:28:56 AM    4    1.00    0.00    0.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00
10:28:56 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:56 AM    6    1.00    0.00    0.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00
10:28:56 AM    7    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:28:56 AM    8    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:28:56 AM    9    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50

10:28:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:58 AM  all    0.70    0.00    0.25   19.79    0.00    0.00    0.00    0.00    0.00   79.26
10:28:58 AM    0    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
10:28:58 AM    1    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:28:58 AM    2    1.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.50
10:28:58 AM    3    0.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.49
10:28:58 AM    4    1.00    0.00    0.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00
10:28:58 AM    5    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:28:58 AM    6    0.50    0.00    0.50   98.99    0.00    0.00    0.00    0.00    0.00    0.00
10:28:58 AM    7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:28:58 AM    8    1.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.50
10:28:58 AM    9    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50

10:28:58 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
